Date,Product_Category,Units_Sold,Unit_Price,Marketing_Spend,Customers,Discount_Percent,Sales
2024-01-01,Furniture,66,4091.42,1303.78,357,10.38,248216.7
2024-01-02,Sports,88,3359.47,1222.9,469,9.46,275061.9
2024-01-03,Grocery,93,2663.02,349.44,173,23.16,192737.16
2024-01-04,Sports,90,1858.27,3328.0,471,2.59,172306.62
2024-01-05,Sports,17,4398.28,1968.93,280,7.1,75823.12
2024-01-06,Clothing,63,2022.98,4348.92,227,21.97,106958.83
2024-01-07,Grocery,23,4101.34,2471.41,112,16.45,81606.25
2024-01-08,Grocery,53,2251.76,4847.33,165,3.84,121632.47
2024-01-09,Grocery,16,1947.03,1090.52,240,26.46,26873.59
2024-01-10,Sports,65,2367.13,4369.39,111,11.8,142260.98
2024-01-11,Furniture,23,1576.75,3927.66,305,24.84,33935.36
2024-01-12,Grocery,80,3763.29,3900.42,56,23.63,233357.83
2024-01-13,Sports,13,2563.33,4254.96,204,18.73,32320.01
2024-01-14,Clothing,75,1237.84,3852.92,141,14.83,84033.75
2024-01-15,Furniture,32,4507.92,3205.86,63,29.39,105644.77
2024-01-16,Clothing,82,1981.07,829.98,278,4.35,159867.21
2024-01-17,Furniture,99,2763.41,356.13,135,21.75,216328.54
2024-01-18,Sports,56,4541.71,4620.07,182,5.74,246287.98
2024-01-19,Electronics,87,3158.77,3159.92,232,10.15,252008.87
2024-01-20,Furniture,20,672.8,4023.38,435,9.26,19776.16
2024-01-21,Clothing,73,4705.18,2511.31,111,28.41,248277.22
2024-01-22,Sports,16,3175.77,763.08,268,29.02,40868.1
2024-01-23,Furniture,29,1741.04,800.89,454,5.49,54277.28
2024-01-24,Electronics,56,782.43,3490.71,295,0.66,48003.62
2024-01-25,Electronics,89,3990.72,2265.47,279,21.6,284713.61
2024-01-26,Grocery,57,3138.36,1162.52,128,12.54,160800.6
2024-01-27,Grocery,27,2713.96,2559.65,198,2.67,75028.23
2024-01-28,Clothing,20,4480.07,508.2,187,20.51,74210.87
2024-01-29,Furniture,61,3964.13,2993.46,363,16.35,208552.99
2024-01-30,Furniture,43,843.21,1491.17,425,29.42,32512.16
2024-01-31,Grocery,57,1627.44,4028.28,472,6.82,94158.18
2024-02-01,Furniture,46,1317.6,1689.74,438,12.12,59800.06
2024-02-02,Furniture,62,3745.34,2385.06,114,16.28,198664.48
2024-02-03,Electronics,43,264.31,255.78,62,23.75,10850.4
2024-02-04,Grocery,18,2892.46,547.75,262,16.47,47497.99
2024-02-05,Sports,99,3836.05,2083.97,291,18.39,314749.57
2024-02-06,Grocery,9,4396.15,2503.71,262,6.78,40437.19
2024-02-07,Sports,39,1776.2,3080.1,230,25.41,56136.37
2024-02-08,Electronics,91,4124.16,1599.98,387,12.86,332489.88
2024-02-09,Clothing,97,642.1,3535.91,222,4.23,64444.09
2024-02-10,Furniture,79,4247.62,4328.59,209,19.93,274714.9
2024-02-11,Electronics,22,724.69,3943.28,213,6.48,20278.8
2024-02-12,Furniture,80,2046.71,390.17,237,2.93,162267.57
2024-02-13,Clothing,13,4006.75,2506.43,444,25.86,47153.63
2024-02-14,Clothing,78,834.6,703.66,240,13.8,59151.63
2024-02-15,Electronics,62,1223.33,1361.82,454,22.48,63950.76
2024-02-16,Clothing,21,3639.04,4935.98,357,8.72,77287.11
2024-02-17,Sports,11,3628.18,883.98,305,23.61,35438.01
2024-02-18,Clothing,50,3241.62,2594.66,232,3.36,162172.75
2024-02-19,Furniture,17,3500.35,3167.15,166,10.68,58082.52
2024-02-20,Furniture,44,2759.35,3571.83,331,29.34,93919.5
2024-02-21,Furniture,46,1333.82,2886.31,245,23.82,51803.47
2024-02-22,Furniture,13,1793.91,246.9,83,14.92,23087.05
2024-02-23,Sports,54,989.83,1767.01,101,10.19,51447.98
2024-02-24,Grocery,31,4551.41,2685.02,161,26.16,105740.12
2024-02-25,Electronics,70,2958.62,621.76,301,16.35,179152.06
2024-02-26,Furniture,9,2064.17,1883.01,131,22.75,16662.56
2024-02-27,Clothing,33,2363.83,359.37,281,22.62,62986.74
2024-02-28,Furniture,41,4741.69,577.18,276,0.54,197656.99
2024-02-29,Clothing,42,851.42,2105.23,282,3.79,37734.35
2024-03-01,Clothing,87,2972.53,837.04,270,19.79,210645.33
2024-03-02,Furniture,12,2578.85,2924.2,485,4.85,39161.77
2024-03-03,Sports,69,3096.13,3509.43,462,7.66,206176.45
2024-03-04,Clothing,90,188.74,4042.82,471,28.4,21860.9
2024-03-05,Clothing,21,4373.41,1160.72,91,16.81,77766.7
2024-03-06,Furniture,75,4667.38,1003.92,70,22.52,271326.22
2024-03-07,Clothing,93,2869.15,701.93,91,16.74,224523.81
2024-03-08,Clothing,49,3513.59,3254.87,446,16.58,152506.95
2024-03-09,Furniture,8,4620.25,3591.08,162,2.82,41621.53
2024-03-10,Furniture,40,3565.47,351.61,154,10.31,130253.16
2024-03-11,Electronics,74,847.44,4693.82,241,8.47,63078.96
2024-03-12,Sports,35,2923.81,449.46,66,11.72,93929.22
2024-03-13,Sports,23,3072.9,2798.22,169,23.95,58495.99
2024-03-14,Clothing,65,2178.24,3603.49,442,11.16,133797.55
2024-03-15,Sports,58,3708.58,4380.65,474,13.55,194974.98
2024-03-16,Clothing,43,4678.4,3627.62,178,11.92,182379.29
2024-03-17,Electronics,95,4635.29,4048.29,179,2.8,434478.92
2024-03-18,Furniture,78,2309.11,1829.36,109,13.23,159243.07
2024-03-19,Furniture,94,654.87,4111.16,97,5.87,63255.78
2024-03-20,Furniture,23,4925.72,584.55,78,5.6,108502.27
2024-03-21,Sports,43,4210.6,4495.12,146,2.82,181185.77
2024-03-22,Electronics,71,710.85,2828.44,59,10.7,48682.02
2024-03-23,Sports,49,4612.13,4123.03,291,22.72,182042.16
